time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.5	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.636321	0.736803	4.65918	1.10348	0.50714	radar	16.5466	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.0364	0.612122	4.75449	0.0103872	0.404707	lidar	5.1257	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23918	0.512111	4.88139	0.0190615	0.438306	radar	2.38843	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.53944	0.564609	4.91805	0.0880014	0.464129	lidar	1.2068	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78573	0.561193	5.30656	0.0953835	0.550938	radar	1.72938	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08677	0.606479	5.34257	0.127585	0.568187	lidar	0.759521	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30759	0.647399	5.21858	0.172882	0.572046	radar	1.77333	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58372	0.686434	5.2455	0.179817	0.505527	lidar	0.324994	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.85829	0.672793	5.27361	0.11176	0.187133	radar	0.573532	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09704	0.684772	5.2489	0.102219	0.114903	lidar	0.535676	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39185	0.571508	5.30011	-0.0838875	-0.498506	radar	2.84205	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70002	0.46203	5.37045	-0.222056	-0.828571	lidar	3.63642	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
